processing_unit,agent_name,agent_x,agent_y,hab_name,hab_type,hab_water_depth,hab_salinity,hab_food,hab_distance,prob_overall,prob_water,prob_salinity,prob_food,prob_distance,has_moved
14,6-30cm,0.7539451530280894,0.702595369503788,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,1-10cm,0.7272850814121494,0.8320069745885558,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
14,3-5cm,0.7774811949608418,0.7224569397249662,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,5-60cm,0.2797047668204078,0.3518231086283753,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
14,2-60cm,0.6442249394621732,0.11754786255678884,lagoon-green,3,107.642,25,11.53,0.2061552812808832,0.000999976501407198,12.5,0.042899999999999994,0.042899999999999994,0.0013702990814785355,True
14,4-10cm,0.7782857623348285,0.6583560693858977,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
14,2-30cm,0.37718270603456927,0.21002529965355043,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
14,3-60cm,0.3171767952877169,0.3148210582011016,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
14,1-30cm,0.7416793818590165,0.6761602257983345,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,4-30cm,0.7709121874771427,0.8539308845362003,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,1-10cm,0.7272850814121494,0.8320069745885558,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
15,1-60cm,0.3143261560399001,0.37567424095275426,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
15,7-30cm,0.7354839601457709,0.6742392459214815,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,3-60cm,0.7661948194288221,0.7628497413586447,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,2-60cm,0.3508245773103118,0.38175933573568677,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
15,4-60cm,0.7317907698983614,0.5936484705378229,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,4-10cm,0.7782857623348285,0.6583560693858977,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
15,6-30cm,0.3899645650753202,0.3291944780628032,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
15,2-30cm,0.3981898799130428,0.22760946856748643,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
15,5-60cm,0.7376403923388434,0.7877508530215133,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,5-5cm,0.7617287525923956,0.5595227882752354,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,3-5cm,0.7222285275625149,0.6508458874089359,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,4-5cm,0.7121600243124051,0.8166893446024927,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,3-10cm,0.7151319197305984,0.5133994894525074,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
15,3-30cm,0.7055648495198095,0.8166365229280529,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,1-30cm,0.7419053044211987,0.5485274228615038,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,2-5cm,0.7417122612707958,0.8015602954944088,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,6-60cm,0.2562410179444232,0.22078021344881726,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
15,2-10cm,0.7056630133017942,0.6847487334752819,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
15,5-30cm,0.2771270612072104,0.3932738897506102,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
15,1-5cm,0.7710532474262907,0.5490342470989993,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
15,4-30cm,0.2599251874473888,0.31694902030457783,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
16,4-60cm,0.7379747264476466,0.5464783779603556,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
16,3-30cm,0.7438620004702337,0.5211550405757044,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
16,2-5cm,0.7025840170483785,0.8267122585074507,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
16,2-60cm,0.7172634530341719,0.797484067619131,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
